ST,BT,AD,JS,Annual precipitation,Average annual temp range,Freezing index,Compressive strength,Elastic modulus,Density of concrete,Modulus of rupture,Tensile strength,Age,LC for 100 m length
8.1,6.1,4698,4.482352941,190.6000061,23.29999924,0,4286.666667,5012456.5,143.0999985,740.4,568.3333333,22,138.1233583
8.1,6.1,6166,4.482352941,193.8999939,23.60000038,0,4286.666667,5012456.5,143.0999985,740.4,568.3333333,23,139.8293991
8.3,6.2,2800,4.482352941,151.1000061,23.10000038,0,7146.666667,4358584,143.6333313,918.3333333,492.4,4,5.905511811
8.3,6.2,7674,4.482352941,152.1999969,22.10000038,0,7146.666667,4358584,143.6333313,918.3333333,492.4,6,7.283464817
8.3,6.2,8472,4.482352941,212.8000031,22.70000076,0,7146.666667,4358584,143.6333313,918.3333333,492.4,7,9.580052744
8.3,6.2,9353,4.482352941,157.6000061,22.5,0,7146.666667,4358584,143.6333313,918.3333333,492.4,8,9.580052744
8.3,6.2,10234,4.482352941,94.69999695,22.20000076,0,7146.666667,4358584,143.6333313,918.3333333,492.4,9,8.136482846
8.3,6.2,4304,4.482352941,226.6999969,23,0,7146.666667,4358584,143.6333313,918.3333333,492.4,10,12.0734908
8.3,6.2,4391,4.482352941,228.8000031,23.10000038,0,7146.666667,4358584,143.6333313,918.3333333,492.4,11,11.22047195
8.3,6.2,4371,4.482352941,251.6999969,23.10000038,0,7146.666667,4358584,143.6333313,918.3333333,492.4,17,6.824146731
8.3,6.2,4513,4.482352941,113.5999985,22.89999962,0,7146.666667,4358584,143.6333313,918.3333333,492.4,18,8.792650668
8.3,6.2,4417,4.482352941,102.8000031,23.70000076,0,7146.666667,4358584,143.6333313,918.3333333,492.4,19,47.37532858
8.3,6.2,4436,4.482352941,245.8999939,23.29999924,0,7146.666667,4358584,143.6333313,918.3333333,492.4,21,71.58792801
8.3,6.2,4698,4.482352941,190.6000061,23.29999924,0,7146.666667,4358584,143.6333313,918.3333333,492.4,22,74.86876791
8.3,6.2,6166,4.482352941,193.8999939,23.60000038,0,7146.666667,4358584,143.6333313,918.3333333,492.4,23,87.79527556
10.8,6.2,2800,4.482352941,151.1000061,23.10000038,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,4,1.115485596
10.8,6.2,4304,4.482352941,226.6999969,23,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,10,0.393700803
10.8,6.2,4391,4.482352941,228.8000031,23.10000038,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,11,0.393700803
10.8,6.2,4574,4.482352941,229.8999939,23.20000076,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,15,1.640419948
10.8,6.2,4371,4.482352941,251.6999969,23.10000038,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,17,2.165354299
10.8,6.2,4513,4.482352941,113.5999985,22.89999962,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,18,2.624671916
10.8,6.2,4417,4.482352941,102.8000031,23.70000076,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,19,4.133858393
10.8,6.2,4436,4.482352941,245.8999939,23.29999924,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,21,4.330708599
10.8,6.2,4698,4.482352941,190.6000061,23.29999924,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,22,5.708661292
10.8,6.2,6166,4.482352941,193.8999939,23.60000038,0,4475,5118358.5,142.3666636,686.6666667,450.8333333,23,8.595800775
11.2,6.2,4574,4.482352941,229.8999939,23.20000076,0,7215,2766430,139.606665,875,602.5,15,2.952755906
11.2,6.2,4371,4.482352941,251.6999969,23.10000038,0,7215,2766430,139.606665,875,602.5,17,2.952755906
11.2,6.2,4513,4.482352941,113.5999985,22.89999962,0,7215,2766430,139.606665,875,602.5,18,2.952755906
11.2,6.2,4417,4.482352941,102.8000031,23.70000076,0,7215,2766430,139.606665,875,602.5,19,2.952755906
11.2,6.2,4436,4.482352941,245.8999939,23.29999924,0,7215,2766430,139.606665,875,602.5,21,15.15748057
11.2,6.2,4698,4.482352941,190.6000061,23.29999924,0,7215,2766430,139.606665,875,602.5,22,72.17847519
11.2,6.2,6166,4.482352941,193.8999939,23.60000038,0,7215,2766430,139.606665,875,602.5,23,107.3490816
8.1,4.2,2800,4.618181818,151.1000061,23.10000038,0,5420,4881377.5,142.8000031,740.4,531.6666667,4,5.24934391
8.1,4.2,7674,4.618181818,152.1999969,22.10000038,0,5420,4881377.5,142.8000031,740.4,531.6666667,6,2.165354299
8.1,4.2,8472,4.618181818,212.8000031,22.70000076,0,5420,4881377.5,142.8000031,740.4,531.6666667,7,2.165354299
8.1,4.2,9353,4.618181818,157.6000061,22.5,0,5420,4881377.5,142.8000031,740.4,531.6666667,8,4.790026372
8.1,4.2,10234,4.618181818,94.69999695,22.20000076,0,5420,4881377.5,142.8000031,740.4,531.6666667,9,4.133858158
8.1,4.2,4304,4.618181818,226.6999969,23,0,5420,4881377.5,142.8000031,740.4,531.6666667,10,5.380577459
8.1,4.2,4391,4.618181818,228.8000031,23.10000038,0,5420,4881377.5,142.8000031,740.4,531.6666667,11,4.724409324
8.1,4.2,4574,4.618181818,229.8999939,23.20000076,0,5420,4881377.5,142.8000031,740.4,531.6666667,15,4.986876578
8.1,4.2,4371,4.618181818,251.6999969,23.10000038,0,5420,4881377.5,142.8000031,740.4,531.6666667,17,5.18372694
8.1,4.2,4513,4.618181818,113.5999985,22.89999962,0,5420,4881377.5,142.8000031,740.4,531.6666667,18,11.54855668
8.1,4.2,4417,4.618181818,102.8000031,23.70000076,0,5420,4881377.5,142.8000031,740.4,531.6666667,19,9.514435539
8.1,4.2,4436,4.618181818,245.8999939,23.29999924,0,5420,4881377.5,142.8000031,740.4,531.6666667,21,10.43307109
8.1,4.2,4698,4.618181818,190.6000061,23.29999924,0,5420,4881377.5,142.8000031,740.4,531.6666667,22,15.28871388
8.1,4.2,6166,4.618181818,193.8999939,23.60000038,0,5420,4881377.5,142.8000031,740.4,531.6666667,23,15.68241492
8.6,3.9,2800,4.482352941,151.1000061,23.10000038,0,6975,4207644,146.1999969,993.3333333,592.5,4,1.181102331
8.6,3.9,8472,4.482352941,212.8000031,22.70000076,0,6975,4207644,146.1999969,993.3333333,592.5,7,2.165354299
8.6,3.9,9353,4.482352941,157.6000061,22.5,0,6975,4207644,146.1999969,993.3333333,592.5,8,2.165354299
8.6,3.9,10234,4.482352941,94.69999695,22.20000076,0,6975,4207644,146.1999969,993.3333333,592.5,9,2.034120672
8.6,3.9,4304,4.482352941,226.6999969,23,0,6975,4207644,146.1999969,993.3333333,592.5,10,1.640419948
8.6,3.9,4391,4.482352941,228.8000031,23.10000038,0,6975,4207644,146.1999969,993.3333333,592.5,11,1.902887123
8.6,3.9,4574,4.482352941,229.8999939,23.20000076,0,6975,4207644,146.1999969,993.3333333,592.5,15,2.821522239
8.6,3.9,4371,4.482352941,251.6999969,23.10000038,0,6975,4207644,146.1999969,993.3333333,592.5,17,2.755905543
8.6,3.9,4417,4.482352941,102.8000031,23.70000076,0,6975,4207644,146.1999969,993.3333333,592.5,19,7.48031471
8.6,3.9,4436,4.482352941,245.8999939,23.29999924,0,6975,4207644,146.1999969,993.3333333,592.5,21,18.7007874
8.6,3.9,4698,4.482352941,190.6000061,23.29999924,0,6975,4207644,146.1999969,993.3333333,592.5,22,45.53805874
8.6,3.9,6166,4.482352941,193.8999939,23.60000038,0,6975,4207644,146.1999969,993.3333333,592.5,23,48.88451647
11.1,4.1,8472,4.482352941,212.8000031,22.70000076,0,7010,4956834,143.2333323,848.3333333,630,7,0.656167979
